animeTitle	Touhokutou, Juunana no Sora
animeType	ONA
animeNumEpisode	1
releaseDate	2015-12-11 00:00:00
endDate	
animeNumMembers	61
animeScore	
animeUsers	
animeRank	13929
animePopularity	18215
animeDescription	"Hirofumi Mizusawa is a 2nd year student at Nanagou High School, which is going to close this summer. One day late at night while trying to finish his summer homework, he observes a “flying orange light” from the window in his room. The next day he tells his friends Akira and Ryo about it and they begin to investigate the true nature of the light, but…
Source: Official YouTube Video"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
