animeTitle	Haikyuu!! Movie 4: Concept no Tatakai
animeType	Movie
animeNumEpisode	1
releaseDate	2017-09-29 00:00:00
endDate	
animeNumMembers	
animeScore	8.13
animeUsers	19454
animeRank	
animePopularity	2397
animeDescription	"Recap film that will cover the match against Shiratorizawa Academy that took place in the third season.

(Source: MAL News)"
animeRelated	['Haikyuu!!', 'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou', 'Haikyuu!! Movie 3: Sainou to Sense']
animeCharacters	['Hinata, Shouyou', 'Kageyama, Tobio', 'Nishinoya, Yuu', 'Tsukishima, Kei', 'Sugawara, Koushi', 'Tanaka, Ryuunosuke', 'Yamaguchi, Tadashi', 'Tendou, Satori', 'Azumane, Asahi', 'Sawamura, Daichi']
animeVoices	[]
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Matsushita, Keiko', 'Producer'], ['BURNOUT SYNDROMES', 'Theme Song Performance'], ['Furudate, Haruichi', 'Original Creator']]
