animeTitle	Gokyoudai Monogatari
animeType	TV
animeNumEpisode	32
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13399
animeDescription	"Japan's TV Asahi network will premiere a television anime adaptation of Tetsu Adachi's Baka-Kyoudai (Idiotic Siblings) manga under the title Gokyoudai Monogatari (Sibling Stories) on October 10. The original manga has been running on an irregular schedule in Kodansha's Young Magazine since 1999. The story centers on a sister and her twin brother who live carefree lives in Tokyo's lower-class neighborhoods and have heartwarming encounters with the local people. It received an award of excellence at the 7th Cultural Media Arts Festival in 2003. 

Yuki Matsuoka will voice the sister Onei Jinushi, and Yumiko Kobayashi will play her twin brother Junichirō Jinushi. Sayaka Ohara will play the local restaurant waitress Shizuka."
animeRelated	[]
animeCharacters	['Jinushi, Onei', 'Shizuka', 'Jinushi, Junichirou']
animeVoices	['Matsuoka, Yuki', 'Ohara, Sayaka', 'Kobayashi, Yumiko']
animeStaff	[['Yasumi, Tetsuo', 'Director'], ['Ookuma, Akira', 'Sound Director'], ['Suzuki, Kentarou', 'Episode Director'], ['Ueno, Kimiko', 'Script']]
