animeTitle	Concrete Revolutio: Choujin Gensou - The Last Song
animeType	TV
animeNumEpisode	11
releaseDate	2016-04-10 00:00:00
endDate	2016-06-17 00:00:00
animeNumMembers	32279
animeScore	7.03
animeUsers	12060
animeRank	3674
animePopularity	3172
animeDescription	"Titans from outer space, life forms from a mystical world, phantoms and goblins from ancient times, cyborgs created by scientists, relics that rose out of the ruins of ancient civilizations. In another Japan, it's not just a question of ""what if""—it's a reality. Some of the superhumans choose to keep their identities a secret, while others bask in their superhuman fame. Jiro Hitoyoshi, member of the Superhuman Bureau, keeps track of their doings.

(Source: ANN)"
animeRelated	['Concrete Revolutio: Choujin Gensou']
animeCharacters	['Hitoyoshi, Jirou', 'Hoshino, Kikko', 'Kino, Emi', 'Earth-chan', 'Shiba, Raito', 'Fuurouta', 'Yoshimura, Hyouma', 'Campe', 'Otonashi, Yumihiko', 'Morrell, Jonathan']
animeVoices	['Ishikawa, Kaito', 'Uesaka, Sumire', 'Toyosaki, Aki', 'Taketatsu, Ayana', 'Suzumura, Kenichi', 'Nakamura, Eriko', 'Kawashima, Tokuyoshi', 'Mizuki, Nana', 'Murase, Ayumu', 'Sekiguchi, Eiji']
animeStaff	[['Mizushima, Seiji', 'Director, Storyboard'], ['Kurokawa, Tomoyuki', 'Episode Director'], ['Urobuchi, Gen', 'Script'], ['Nakashima, Kazuki', 'Script']]
