animeTitle	b'Utsu Musume Sayuri'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	1.97
animeUsers	12954
animeRank	
animePopularity	
animeDescription	b'Sayuri is a curious creature who lives on her husband with her equally surreal mother and father. With an antenna-like whip protruding from her head, she is a striking daughter, and her long-awaited time to strike has come. Her family and friends watch eagerly as Sayuri carries out this bizarre ceremony.\n\n[Written by MAL Rewrite]'
animeRelated	[]
animeCharacters	[b'Sayuri', b'Papa', b'Mama']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Takashi\n\nDirector\n\n']
