animeTitle	Wagamama☆Fairy Mirumo de Pon!
animeType	TV
animeNumEpisode	172
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	6332
animeRank	
animePopularity	4348
animeDescription	"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. 

One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. 

Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... 

(Source: mirmo-zibang) "
animeRelated	['Mirumo de Pon!']
animeCharacters	['Minami, Kaede', 'Mirumo', 'Yashichi', 'Yuuki, Setsu', 'Murumo', 'Matsutake, Kaoru', 'Hidaka, Azumi', 'Rirumu', 'Eguchi, Saori', 'Sazo']
animeVoices	['Nakahara, Mai', 'Kozakura, Etsuko', 'Suzuki, Akiko', 'Tokumoto, Yukitoshi', 'Kugimiya, Rie', 'Hoshi, Souichirou', 'Hitomi', 'Omimura, Mayuko', 'Hayamizu, Risa']
animeStaff	[['Kasai, Kenichi', 'Director, Episode Director, Storyboard'], ['Fukushima, Toshinori', 'Director'], ['Suzuki, Kaoru', 'Episode Director, Storyboard'], ['Kawaguchi, Keiichirou', 'Storyboard']]
