animeTitle	b'Iii Icecrin'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b"" Icecrins are the sweetly peculiar inhabitants of Ice Cream Town. Every day is a fresh start, with each Icecrin bringing their own unique flavor wherever they go. They may lose their cool at times, but in the end, they always do their best to help their friends have a very 'ice day!\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Minton XV, Francisco', b'Tirara', b'Chocon', b'Brune', b'Stochii', b'Vanillan', b'Chicchi', b'Narrator', b'Nap', b'Mabubu']
animeVoices	[b'\nHoriuchi, Marina\nJapanese\n', b'\nNaganawa, Maria\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nSenbongi, Sayaka\nJapanese\n', b'\nKohara, Konomi\nJapanese\n', b'\nKawata, Taeko\nJapanese\n', b'\nMorinaga, Chitose\nJapanese\n', b'\nTakahashi, Shigeo\nJapanese\n', b'\nSatou, Megumi\nJapanese\n', b'\nKino, Hina\nJapanese\n']
animeStaff	[]
