animeTitle	Tora-chan no Kankan Mushi
animeType	Movie
animeNumEpisode	1
releaseDate	1950-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	403
animeRank	
animePopularity	11900
animeDescription	Tora-chan and Miike are working on the side of a tuna steamship and manage to run afoul of the short-tempered captain. But the captain makes plenty of trouble on his own! 
animeRelated	['Tora-chan to Hanayome']
animeCharacters	['Tora']
animeVoices	[]
animeStaff	[['Masaoka, Kenzou', 'Director'], ['Yamamoto, Zenjirou', 'Production Manager'], ['Kumakawa, Masao', 'In-Between Animation']]
