animeTitle	b'Yumeyume'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	1147
animeRank	
animePopularity	
animeDescription	"b'Music video from DECO*27.\n\n""Miku Hatsune and Future Stars Project mirai"" (SEGA) Main Theme Song'"
animeRelated	[]
animeCharacters	[b'Hatsune, Miku']
animeVoices	[b'\nHatsune, Miku\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n', b'\nDECO*27\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement, Creator\n\n', b'\nMorii, Kenshirou\n\nKey Animation\n\n']
