animeTitle	Yoroiden Samurai Troopers
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	7977
animeRank	
animePopularity	4350
animeDescription	"Thousands of years ago, the evil emperor Talpa attempted to conquer the Earth. Defeated, he was banished to the Nether Realm and his armor was divided into 9 separate suits. Now, he has returned to conquer Earth, having reclaimed 4 of the suits. The other 5 are in the possesion of those who are the only hope of stopping him: The Ronin Warriors. 

(Source: ANN)"
animeRelated	['Yoroiden Samurai Troopers', 'Shin Yoroiden Samurai Troopers', 'Yoroiden Samurai Troopers Gaiden']
animeCharacters	['Date, Seiji', 'Hashiba, Touma', 'Sanada, Ryo', 'Rei Fuan, Shu', 'Shutendouji', 'Mouri, Shin', 'Talpa', 'Kayura', 'Yagyu, Nasuti', 'Kaos']
animeVoices	['Nakamura, Daiki', 'Takemura, Hiroshi', 'Kusao, Takeshi', 'Nishimura, Tomohiro', 'Yanada, Kiyoyuki', 'Sasaki, Nozomu', 'Sasaoka, Shigezou', 'Katsuki, Masako', 'Kusakabe, Kaori', 'Wakamoto, Norio']
animeStaff	[['Ikeda, Masashi', 'Director'], ['Hamatsu, Mamoru', 'Director, Episode Director, Storyboard'], ['Chiba, Kouichi', 'Sound Director'], ['Takamatsu, Shinji', 'Episode Director, Storyboard']]
