animeTitle	Bucchigiri
animeType	OVA
animeNumEpisode	4
releaseDate	1989-10-27 00:00:00
endDate	1991-03-25 00:00:00
animeNumMembers	574
animeScore	
animeUsers	
animeRank	15075
animePopularity	12586
animeDescription	"To all his schoolmates, Jin comes across as a hot-headed class clown from typically barging in late and sleeping the whole way through to always responding to any situation with reckless stupidity. The fact that he used to be the charismatic leader of a legendary biker gang has turned into an urban legend; however, after starting a rivalry with the captain of the school baseball team, he and two former members, become their star players. But it's not long before his past catches up to him...

(Source: ANN)"
animeRelated	['Bucchigiri']
animeCharacters	['Nakamori, Rui']
animeVoices	['Hayashibara, Megumi']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Miyamae, Mitsuharu', 'Art Director'], ['Tahara, Yuuko', 'Art Director'], ['Nakahara, Yuu', 'Original Creator']]
