animeTitle	New Game!
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-04 00:00:00
endDate	2016-09-19 00:00:00
animeNumMembers	374481
animeScore	7.59
animeUsers	173120
animeRank	1327
animePopularity	445
animeDescription	"Since childhood, Aoba Suzukaze has loved the Fairies Story game series, particularly the character designs. So when she graduates from high school, it is no surprise that she applies to work at Eagle Jump, the company responsible for making her favorite video game. On her first day, she is excited to learn that she will be working on a new installment to the series: Fairies Story 3—and even more so under Kou Yagami, the lead character designer.

In their department are people who share the same passion for games. There is Yun Iijima, whose specialty is designing monsters; the shy Hifumi Takimoto, who prefers to communicate through instant messaging; Hajime Shinoda, an animation team member with an impressive figurine collection; Rin Tooyama, the orderly art director; Shizuku Hazuki, the game director who brings her cat to work; and Umiko Ahagon, the short-tempered head programmer.

New Game! follows Aoba and the others on their adventure through the ups and downs of game making, from making the perfect character design to fixing all the errors that will inevitably accumulate in the process.

[Written by MAL Rewrite]"
animeRelated	['New Game!', 'New Game!: Watashi, Shain Ryokou tte Hajimete nano de...']
animeCharacters	['Suzukaze, Aoba', 'Yagami, Kou', 'Takimoto, Hifumi', 'Ahagon, Umiko', 'Sakura, Nene', 'Iijima, Yun', 'Shinoda, Hajime', 'Tooyama, Rin', 'Hazuki, Shizuku', 'Yamada']
animeVoices	['Takada, Yuuki', 'Hikasa, Youko', 'Yamaguchi, Megumi', 'Morinaga, Chitose', 'Asahina, Madoka', 'Takeo, Ayumi', 'Toda, Megumi', 'Kayano, Ai', 'Kitamura, Eri', 'Fujita, Saki']
animeStaff	[['Fujiwara, Yoshiyuki', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Takeshita, Ryouhei', 'Episode Director, Storyboard, Assistant Director'], ['Haraguchi, Hiroshi', 'Episode Director, Storyboard, Key Animation']]
