animeTitle	Soul Reviver
animeType	Special
animeNumEpisode	1
releaseDate	2013-04-30 00:00:00
endDate	
animeNumMembers	661
animeScore	5.23
animeUsers	245
animeRank	11050
animePopularity	12232
animeDescription	"3D CG promotional video for the Soul Reviver manga by Fujisawa Tohru.

In the manga, the dead can be brough back to life, if their souls can be restored before disappearing into the void. Between death and the void is the world of the dead, and two individuals - the former detective Jin Ryuusuke and the dead high school girl Sekimachi Kurara - salvage souls in this realm.

(Source: ANN)"
animeRelated	['Soul Reviver']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
