animeTitle	Wake Up, Girls! Seishun no Kage
animeType	Movie
animeNumEpisode	1
releaseDate	2015-09-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	3083
animeRank	
animePopularity	5614
animeDescription	Movie sequel of Wake Up, Girls!, announced at Wake Up, Girls! Festa.2014 Winter.
animeRelated	['Wake Up, Girls!', 'Wake Up, Girls! Beyond the Bottom', 'Wake Up, Girls! no Miyagi PR Yarasete Kudasai!']
animeCharacters	['Shimada, Mayu', 'Okamoto, Miyu', 'Katayama, Minami', 'Nanase, Yoshino', 'Kikuma, Kaya', 'Hisami, Nanami', 'Hayashida, Airi', 'Tange, Junko', 'Oota, Kuniyoshi', 'Yoshikawa, Megumi']
animeVoices	['Yoshioka, Mayu', 'Takagi, Miyu', 'Tanaka, Minami', 'Aoyama, Yoshino', 'Okuno, Kaya', 'Yamashita, Nanami', 'Eino, Airi', 'Hidaka, Noriko', 'Shimono, Hiro', 'Tsuda, Minami']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Yamamoto, Yutaka', 'Director, Episode Director, Storyboard, Theme Song Lyrics, Original Creator'], ['Kikuta, Hiromi', 'Sound Director'], ['Watanabe, Masaharu', 'Episode Director']]
