animeTitle	b'Jewelpet Happiness'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	669
animeRank	
animePopularity	
animeDescription	"b""The series focuses on the main heroine Chiari Tsukikage and her friends on managing the Jewelpet Cafe. One day at the magical world of Jewel Land, Lady Jewelina entrusted Ruby the Magical Jewel Box with a mission to make friends and collect Magic Jewels. At the same time she needs to attend the Jewel Academy to do so and open a shop called the Jewelpet Cafe. However with her friends, things didn't go well as planned with several failed mishaps happened to her and the students being scared, in the point of Ruby giving up. But when she met a young girl named Chiari Tsukikage and decides to help, Ruby's life is about to change forever. Now, she and her friends now must work together for the cafe to prosper, stick together through good and bad luck as well as protecting the Jewel Box from being stolen.\n\n(Source: Jewelpet Wikia)"""
animeRelated	[b'Jewelpet', b'Jewelpet Magical Change', b'Jewelpet: Attack Chance!?', b'Jewelpet Kira\xe2\x98\x86Deco!', b'Lady Jewelpet']
animeCharacters	[b'Ruby', b'Sapphie', b'Garnet', b'Hanayama, Ruruka', b'Tsukikage, Chiari', b'Konoe, Nene', b'Labra', b'Angela', b'Dian', b'Sango']
animeVoices	[b'\nSaitou, Ayaka\nJapanese\n', b'\nSasaki, Nozomi\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nAizawa, Mai\nJapanese\n', b'\nHan, Megumi\nJapanese\n', b'\nHayama, Ikumi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nShimizu, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinya, Une\n\nProducer\n\n', b'\nSekito, Kanno\n\nProducer\n\n', b'\nSakurai, Hiroaki\n\nDirector, Episode Director, Script, Storyboard\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n']
