animeTitle	Hajime no Ippo: Boxer no Kobushi
animeType	Special
animeNumEpisode	1
releaseDate	2003-03-21 00:00:00
endDate	
animeNumMembers	
animeScore	8.09
animeUsers	24910
animeRank	
animePopularity	2692
animeDescription	A special episode included in the DVDs. It tells how Takamura started boxing.
animeRelated	['Hajime no Ippo']
animeCharacters	['Takamura, Mamoru', 'Kamogawa, Genji', 'Makunouchi, Ippo', 'Shinoda, Tomoyuki', 'Miyata, Father', 'Yagi, Haruhiko', 'Sakura']
animeVoices	['Koyama, Rikiya', 'Utsumi, Kenji', 'Kiyasu, Kohei', 'Ishizuka, Unshou', 'Nakajima, Toshihiko', 'Horikawa, Jin']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Morikawa, George', 'Original Creator'], ['Kaneko, Hidetoshi', 'Art Director'], ['Tomioka, Takashi', 'Key Animation']]
