animeTitle	Shishunki Shoujo
animeType	OVA
animeNumEpisode	2
releaseDate	2008-03-28 00:00:00
endDate	2008-07-25 00:00:00
animeNumMembers	3605
animeScore	6.45
animeUsers	1232
animeRank	
animePopularity	7914
animeDescription	A pair of high school girls, who think they can handle trouble, try to keep the punks in line at their school and discover they aren't as tough as they thought.
animeRelated	[]
animeCharacters	['Ibuki, Kumi', 'Nagase, Rina']
animeVoices	[]
animeStaff	[['Yokoyama, Hiromi', 'Director']]
