animeTitle	b'Doukyonin wa Hiza, Tokidoki, Atama no Ue.'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.74
animeUsers	68746
animeRank	
animePopularity	
animeDescription	"b""Subaru Mikazuki is a 23-year-old mystery novel author, major introvert, and an awkwardly shy person. He would much rather stay home to read a book than go outside and interact with others. Further exacerbating this life of solitude, his parents tragically died in an accident many years ago, leaving him alone in the world. \n\nOne day, while giving offerings at his parents' grave, Subaru runs into a small grey and white cat named Haru, which he ends up taking home with him. Subaru, however, has never taken care of anyone else in his life\xe2\x80\x94can he even take care of a cat? Haru is grateful toward Subaru, as he gives her all the food she wants\xe2\x80\x94a luxury for a cat who is used to a rough life on the streets. But she notices that Subaru can't even seem to take care of himself! Will she be okay with this dunce? \n\nDoukyonin wa Hiza, Tokidoki, Atama no Ue. tells the story of an unlikely friendship between a human and a cat who try to foster an understanding with each other.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Doukyonin wa Hiza, Tokidoki, Atama no Ue.']
animeCharacters	[b'Haru', b'Mikazuki, Subaru', b'Oukami, Nana', b'Kawase, Atsushi', b'Yasaka, Hiroto', b'Hachi', b'Kuro', b'Oukami, Yuugo', b'Roku', b'Tora-neesan']
animeVoices	[b'\nYamazaki, Haruka\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nAnzai, Chika\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nHorie, Shun\nJapanese\n', b'\nMurase, Ayumu\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nNakajima, Yoshiki\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Kaoru\n\nDirector, Episode Director, Storyboard\n\n', b'\nKitahata, Tooru\n\nEpisode Director\n\n', b'\nKuraya, Ryouichi\n\nEpisode Director, Storyboard\n\n', b'\nOonishi, Kenta\n\nEpisode Director, Assistant Animation Director, 2nd Key Animation\n\n']
