animeTitle	b'Bihada Ichizoku'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	1207
animeRank	
animePopularity	
animeDescription	b'There is a World Beautiful-Skin Competition (WBC) to which the 3 billion women of the world aspire. Carrying on the 300-year legacy of the competition are the twin Bihada sisters, Sara and Saki.'
animeRelated	[b'Bihada Ichizoku']
animeCharacters	[b'Bihada, Sara', b'Yuutenji, Saki', b'Minamoto, Gou', b'Kamada, Masao', b'Shiratori, Ai']
animeVoices	[b'\nShouji, Umeka\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nNakamura, Yuichi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatou, Michiya\n\nDirector, Storyboard, Director of Photography\n\n', b'\nMacDonald, Scott\n\nBackground Art\n\n', b'\nKaizu, Toshiko\n\nArt Director\n\n']
