animeTitle	Arrow Emblem Grand Prix no Taka
animeType	TV
animeNumEpisode	44
releaseDate	1977-09-22 00:00:00
endDate	1978-08-31 00:00:00
animeNumMembers	
animeScore	6.45
animeUsers	543
animeRank	
animePopularity	9849
animeDescription	"An anime with much of wheel actions ... Takaya Todoroki, a young man who wants to become a famous driver and built a car to be able to participate in a race with a big prize. In the race, because of the poor quality of building, Takaya has a serious accident in which he wrecked his car but he doesn`t hurt himself. That`s when a mysterious driver contact Takaya to enter onto some famous racing team...This mysterious man is a former driver .. a very famous one who appears every now and then to help Takaya fight his own destiny, to set him on the right track and most of all prove himself, unlike him.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Todoroki, Takaya', 'Chied Sasaki', 'Katori, Rie', 'Ootsubo, Ken', 'Oose, Hangorou', 'Oose, Suzuko', 'Obinata, Masaru', 'Suppon', 'Radamu, Nick', 'Narrator']
animeVoices	['Tomiyama, Kei', 'Ogata, Kenichi', 'Yoshida, Rihoko', 'Hase, Sanji', 'Nozawa, Masako', 'Koyama, Mami', 'Noda, Keiichi', 'Tokumaru, Kan', 'Yada, Kouji']
animeStaff	[['Yamayoshi, Yasuo', 'Episode Director'], ['Tsuji, Masaki', 'Script'], ['Mizuki, Ichirou', 'Theme Song Performance'], ['Sugino, Akio', 'Character Design, Original Character Design']]
