animeTitle	b'Brothers Conflict'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	83175
animeRank	
animePopularity	
animeDescription	"b""Ema Hinata is a sweet girl with only her father to call family. One day, she learns that he will be remarrying Miwa Asahina, a wealthy fashion designer. Though she's glad she has a new place to call home, the family she gains is greater than she could ever imagine\xe2\x80\x94Ema now has 13 step-brothers!\n\nWishing to give her father space, she moves into the Sunrise Residence where her brothers live. As she settles in, Ema realizes she may not experience the loving kinship of a family that she has always longed for, as many of her new brothers exhibit feelings toward Ema that aren't just familial.\n\nWith each brother desiring Ema's attention in his own way, will she be able to work toward a happy ending for all, or will she choose one brother that has stolen her heart?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Brothers Conflict', b'Brothers Conflict: Setsubou', b'Brothers Conflict OVA']
animeCharacters	[b'Asahina, Tsubaki', b'Asahina, Natsume', b'Asahina, Yuusuke', b'Asahina, Fuuto', b'Asahina, Azusa', b'Asahina, Subaru', b'Asahina, Louis', b'Hinata, Ema', b'Asahina, Iori', b'Asahina, Kaname']
animeVoices	[b'\nSuzumura, Kenichi\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nKENN\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nTakeuchi, Ken\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsumoto, Atsushi\n\nDirector\n\n', b'\nIkuhara, Kunihiko\n\nEpisode Director, Storyboard\n\n', b'\nFurukawa, Tomohiro\n\nEpisode Director, Storyboard\n\n', b'\nGotou, Keiji\n\nEpisode Director, Storyboard, Key Animation\n\n']
