animeTitle	Urusei Yatsura Movie 5: Kanketsu-hen
animeType	Movie
animeNumEpisode	1
releaseDate	1988-02-06 00:00:00
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	2332
animeRank	
animePopularity	6602
animeDescription	"The Urusei Yatsura story comes to a climax in this animated retelling of the final Manga story (although not the final movie). Lupa, yet another one of Lum's fiancés, arrives on the scene, and Lum and Ataru have to repeat their game of tag in order to prevent the Earth from being destroyed.

All Ataru has to do to win is say ""I love you"" the three words he has steadfastly refused to say to Lum. Will he admit his true feelings and save the Earth? Or will his pride doom it to destruction?

(Source: AniDB)"
animeRelated	['Urusei Yatsura']
animeCharacters	['Lum', 'Moroboshi, Ataru', 'Mendo, Shutaro', 'Carla', 'Rupa', 'Ran', 'Fujinami, Ryuunosuke', 'Sakuranbou', 'Miyake, Shinobu', 'Satoshi']
animeVoices	['Hirano, Fumi', 'Furukawa, Toshio', 'Kamiya, Akira', 'Inoue, You', 'Shiozawa, Kaneto', 'Komiya, Kazue', 'Tanaka, Mayumi', 'Nagai, Ichiro', 'Shimazu, Saeko', 'Chiba, Shigeru']
animeStaff	[['Dezaki, Satoshi', 'Director'], ['Shibuichi, Setsuko', 'Storyboard, Character Design'], ['Hagita, Mitsuo', 'Theme Song Arrangement'], ['Takahashi, Rumiko', 'Original Creator']]
