animeTitle	Oshiri Kajiri Mushi
animeType	Music
animeNumEpisode	1
releaseDate	2007-06-01 00:00:00
endDate	
animeNumMembers	720
animeScore	4.76
animeUsers	402
animeRank	11691
animePopularity	11976
animeDescription	A funny video about a magical bug that likes to bite the people's derriere. The song was intended to encourage people who live in big cities to spontaneously interact with each other.
animeRelated	['Oshiri Kajiri Mushi (TV)', 'Oshiri no Yama wa Everest']
animeCharacters	['Oshiri Kajiri Mushi XVIII']
animeVoices	[]
animeStaff	[['UrumaDelvi', 'Theme Song Lyrics, Theme Song Composition, Animation Director'], ['Matsumae, Kimitaka', 'Theme Song Arrangement']]
