animeTitle	b'Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'First movie in 9 years for Tamagotchi. To premiere alongside with Kami-sama Minarai: Himitsu no Cocotama Movie.'
animeRelated	[b'Tamagotchi!', b'Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose\xe2\x99\xaa Tepple to Dokidoki Cocotama-kai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
