animeTitle	Air Gear Special
animeType	Special
animeNumEpisode	1
releaseDate	2007-03-21 00:00:00
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	23595
animeRank	
animePopularity	2663
animeDescription	Takes part a while after Ikki accepts Simca's offer to become the new leader of Genesis. Shows the Battle between Kogarasumaru and Potemkine. The episode takes place between episodes 21 and 22 of the main series.
animeRelated	['Air Gear']
animeCharacters	['Minami, Itsuki', 'Mikura, Kazuma', 'Adachi, Emily', 'Wanijima, Agito', 'Simca', 'Noyamano, Ringo', 'Yoshitsune', 'Mihotoke, Issha', 'Sano, Yasuyoshi', 'Onigiri']
animeVoices	['Kamakari, Kenta', 'KENN', 'Ishii, Shouko', 'Kikuchi, Kokoro', 'Tanaka, Rie', 'Ise, Mariya', 'Bifu, Hitoshi', 'Kikuchi, Masami']
animeStaff	[['Oh! Great', 'Original Creator, Original Character Design'], ['Naganuma, Hideki', 'Music']]
