animeTitle	Haha no Supporter
animeType	ONA
animeNumEpisode	1
releaseDate	2016-12-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	183
animeRank	
animePopularity	13778
animeDescription	A Tsutaetai, Kokoro no Tegami (wedding, elderly aid, and funeral company) commissioned work from Tekken showing a son recounting the love of his mother as she supported his ailing father.
animeRelated	['Otousan wa Ai no Hito']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
