animeTitle	Wanna. SpartanSex Spermax!!!
animeType	OVA
animeNumEpisode	2
releaseDate	2013-02-22 00:00:00
endDate	2013-09-27 00:00:00
animeNumMembers	
animeScore	6.7
animeUsers	2814
animeRank	
animePopularity	5834
animeDescription	"Based on the erotic game by Guilty eX.

Tanabe Yoshiyuki disappeared and it was discovered he was bullied in school. Nagisa, Yoshiyuki's cousin, decided to dress up as a male in order to find out what happened to him and to exact revenge on those responsible for the bullying.

(Source: HentaiTake)"
animeRelated	[]
animeCharacters	['Kiryu, Nagisa', 'Hiura, Shiori', 'Hiragi, Aiki']
animeVoices	['Ogura, Yui', 'Haduki, Rie', 'Misonoo, Mei']
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Yokoyama, Hiromi', 'Director'], ['Kimura, Takeshi', 'Episode Director, Character Design, Animation Director']]
