animeTitle	Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.38
animeUsers	7443
animeRank	
animePopularity	4695
animeDescription	"The Raimon team has been invited by Fifth Sector strangely to a soccer camp. When they agree, things go out of hand since it was revealed that Fifth Sector wants to eliminate them once and for all on the island called God Eden. Now, the Raimon team needs to train harder to be able to show that they have the strength to fight back and prove Fifth Sector's doings wrong.

(Source: Inazuma Eleven Wiki)"
animeRelated	['Inazuma Eleven Go']
animeCharacters	['Endou, Mamoru', 'Tsurugi, Kyousuke', 'Matsukaze, Tenma', 'Shindou, Takuto', 'Hakuryuu', 'Shuu', 'Fubuki, Shirou', 'Gouenji, Shuuya', 'Kidou, Yuuto', 'Kazemaru, Ichirouta']
animeVoices	['Takeuchi, Junko', 'Ohara, Takashi', 'Terasaki, Yuka', 'Saiga, Mitsuki', 'Fukuyama, Jun', 'Sawashiro, Miyuki', 'Miyano, Mamoru', 'Nojima, Hirofumi', 'Yoshino, Hiroyuki', 'Nishigaki, Yuka']
animeStaff	[['Miyao, Yoshikazu', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['T-Pistonz+KMC', 'Theme Song Composition, Theme Song Lyrics, Theme Song Performance'], ['Hino, Akihiro', 'Original Creator']]
