animeTitle	b'Bomberman B-Daman Bakugaiden Victory'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	628
animeRank	
animePopularity	
animeDescription	b'Based on the Hudson Soft game.'
animeRelated	[b'Bomberman B-Daman Bakugaiden']
animeCharacters	[b'Bomber, White', b'Kurobon', b'Midoribon', b'Akabon', b'Aobon', b'Kiirobon']
animeVoices	[b'\nSeki, Toshihiko\nJapanese\n', b'\nMiyazaki, Issei\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nKozakura, Etsuko\nJapanese\n', b'\nMadono, Mitsuaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nMinakami, Seishi\n\nScript\n\n', b'\nWatanabe, Cheru\n\nTheme Song Arrangement, Theme Song Composition\n\n', b'\nShiramine, Mitsuko\n\nTheme Song Lyrics\n\n']
