animeTitle	b'Loveless Specials'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	7124
animeRank	
animePopularity	
animeDescription	b'DVD specials.'
animeRelated	[b'Loveless']
animeCharacters	[b'Aoyagi, Ritsuka', b'Agatsuma, Soubi']
animeVoices	[b'\nMinagawa, Junko\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKouga, Yun\n\nOriginal Creator\n\n', b'\nIwakura, Kazunori\n\nCharacter Design\n\n']
