animeTitle	b'Tsukipro The Animation'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	3115
animeRank	
animePopularity	
animeDescription	"b""At the Budokan, an annual event known as the Tsukino Concert puts Tsukino Entertainment Production's best and brightest idol units on the stage. The leaders of idol groups SolidS, SOARA, QUELL, and Growth must compose four unique and distinctive songs for their respective units, which they will perform on the second day of the festival.\n\nComposing four new songs proves to be a difficult task for SolidS's leader, Shiki Takamura, as he struggles to find inspiration. Sora Oohara must learn to overcome past mistakes while propelling his unit, SOARA, to the top. Wanting to escape his past stardom, Shuu Izumi is determined to push his unit, QUELL, up to the level of popularity that his previous one had. Growth finds themselves working together with a rival group, ZIX, prior to their debut\xe2\x80\x94something that leader Kouki Etou is reluctant to do.\n\nTsukipro The Animation tells the stories of these four units simultaneously as they go through their daily lives while preparing for the Tsukino Concert.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Tsukiuta. The Animation', b'Tsukiuta. The Animation 2', b'Tsukipro The Animation 2']
animeCharacters	[b'Fujimura, Mamoru', b'Takamura, Shiki', b'Sera, Rikka', b'Murase, Dai', b'Sakuraba, Ryouta', b'Oohara, Sora', b'Etou, Kouki', b'Okui, Tsubasa', b'Izumi, Shuu', b'Yaegashi, Kensuke']
animeVoices	[b'\nTerashima, Junta\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nUmehara, Yuuichirou\nJapanese\n', b'\nYamashita, Daiki\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nToki, Shunichi\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nTakeuchi, Shunsuke\nJapanese\n', b'\nYamaya, Yoshitaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n', b'\nMatsumura, Juria\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nHanae, Natsuki\n\nTheme Song Performance, Inserted Song Performance\n\n']
