animeTitle	Urusei Yatsura Movie 4: Lum The Forever
animeType	Movie
animeNumEpisode	1
releaseDate	1986-02-22 00:00:00
endDate	
animeNumMembers	5577
animeScore	6.75
animeUsers	2298
animeRank	4858
animePopularity	6696
animeDescription	"Strange things begin happening in Tomobiki Town... 

When a great cherry tree, ""Tarozakura"" is cut down while Lum & Co. are making a movie, Lum loses her horns-and her powers! Thus begins the strangest and most lyrical of the Urusei Yatsura movies...

(Source: AniDB)"
animeRelated	['Urusei Yatsura']
animeCharacters	['Lum', 'Moroboshi, Ataru', 'Mendo, Shutaro', 'Ran', 'Sakuranbou', 'Miyake, Shinobu', 'Satoshi', 'Sakura', 'Ten', 'Moroboshi, Mother']
animeVoices	['Hirano, Fumi', 'Furukawa, Toshio', 'Kamiya, Akira', 'Komiya, Kazue', 'Nagai, Ichiro', 'Shimazu, Saeko', 'Chiba, Shigeru', 'Washio, Machiko', 'Sugiyama, Kazuko', 'Sakuma, Natsumi']
animeStaff	[['Yamazaki, Kazuo', 'Director, Script, Screenplay'], ['Yoshinaga, Naoyuki', 'Episode Director'], ['Inoue, Toshiki', 'Script'], ['Takahashi, Rumiko', 'Original Creator']]
