animeTitle	Heong-geuli Beseuteu 5
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15352
animeDescription	"Kim Youngwoong is a highschool basketball player. He participates in the junior Asian Cup competition help in Hong King, and plays the final match against the Chinese team. His last dramatic shot brings victory for the Korean team. Chae Yo omi, the Korean consul's daughter can't forget his last impressive shot. Back home, Youngwoong is sought after by every university which has a basketball team. However, Youngwoong decides to join the least famous team because his very first coach, Kim In, advises him to.

(Source: KoreaFilm)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
