animeTitle	Fireball
animeType	TV
animeNumEpisode	13
releaseDate	2008-04-07 00:00:00
endDate	2008-06-30 00:00:00
animeNumMembers	
animeScore	6.66
animeUsers	5162
animeRank	
animePopularity	5436
animeDescription	Fireball takes place during the war between humans and robots. There is no real story, just individual episode skits.
animeRelated	['Fireball Charming', 'Fireball Special', 'Fireball Humorous']
animeCharacters	['von Flügel, Drossel', 'Gedächtnis', 'Die Schadenfreude']
animeVoices	['Kawasho, Miyuki', 'Ookawa, Tooru']
animeStaff	[['Arakawa, Wataru', 'Director']]
