animeTitle	Moonrakers
animeType	ONA
animeNumEpisode	1
releaseDate	2014-04-15 00:00:00
endDate	
animeNumMembers	
animeScore	5.61
animeUsers	880
animeRank	
animePopularity	9973
animeDescription	"An accident leaves Taishi stranded on the lunar surface, unable to return to Earth. A girl helps him in his despair, but he is oblivious to her true identity.

(Source: ANN)"
animeRelated	['Moonrakers']
animeCharacters	['Luna', 'Takeishi, Taishi']
animeVoices	['Ookubo, Rumi', 'Okitsu, Kazuyuki']
animeStaff	[['Abe, Noriyuki', 'Director'], ['Nakamura, Takashi', 'Art Director'], ['Yanagi, Keisuke', 'Editing'], ['Tanaka, Takahiro', 'Character Design, Animation Director']]
