animeTitle	b'Masuda Kousuke Gekijou Gag Manga Biyori 2'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	1193
animeRank	
animePopularity	
animeDescription	b'Gyagu Manga Biyori is hyperactive, random, and nonsensical, revolving around various plots and characters throughout the series. It makes absolutely no sense. The 1st episode is about stickers included in snacks\n\n(Source: ANN)'
animeRelated	[b'Masuda Kousuke Gekijou: Gag Mangabiyori', b'Masuda Kousuke Gekijou Gag Manga Biyori', b'Masuda Kousuke Gekijou Gag Manga Biyori 3']
animeCharacters	[b'Usami-chan', b'Shoutoku, Taishi', b'Kumakichi', b'Onono, Imoko', b'Kawai, Sora', b'Matsuo, Bashou']
animeVoices	[b'\nMaeda, Takeshi\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nNaitou, Ryou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nDirector\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nNagahama, Hiroshi\n\nEpisode Director, Animation Director\n\n', b'\nUeda, Yuuji\n\nTheme Song Performance\n\n']
