animeTitle	Lupin III vs. Detective Conan
animeType	Special
animeNumEpisode	1
releaseDate	2009-03-27 00:00:00
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	15962
animeRank	
animePopularity	3298
animeDescription	"In a country called Vesparand, a new mineral with super stealth properties has been discovered which attracts Lupin's attention. At the same time the untimely deaths of Queen Sakura and her son, Prince Gill, leave Princess Mira next in succession to the throne. During a trip to Japan, Princess Mira finds her double in Ran and takes the opportunity to trade places, which ends with Ran being spirited away to Vesparand with Conan, Zenigata, Kogoro Mouri, Lupin and Fujiko in tow. There they meet a waiting Jigen and solve the mystery of the deaths of the Queen and Prince.

(Source: ANN) 
"
animeRelated	['Lupin III vs. Meitantei Conan', 'Detective Conan', 'Lupin III', 'Lupin III vs. Detective Conan: The Movie']
animeCharacters	['Edogawa, Conan', 'Lupin III, Arsene', 'Jigen, Daisuke', 'Mouri, Ran', 'Mouri, Kogorou', 'Stinger, Keith Dan', 'Vespaland, Mira Julietta', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi']
animeVoices	['Takayama, Minami', 'Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Yamazaki, Wakana', 'Kamiya, Akira', 'Midorikawa, Hikaru', 'Horie, Yui', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou']
animeStaff	[['Nakatani, Toshio', 'Producer'], ['Suwa, Michihiko', 'Producer'], ['Kamegaki, Hajime', 'Director, Storyboard, Mechanical Design'], ['Urakami, Yasuo', 'Sound Director']]
