animeTitle	b'Shakugan no Shana-tan Movie'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	10594
animeRank	
animePopularity	
animeDescription	"b""Shana-tan special bundled with the Shakugan no Shana Movie director's cut special collection DVD."""
animeRelated	[b'Shakugan no Shana Movie']
animeCharacters	[b'Shana', b'Sakai, Yuuji', b'Yoshida, Kazumi', b'Alastor', b'Friagne', b'Hirai, Yukari', b'Sakai, Chigusa', b'Marianne']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nEbara, Masashi\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nAsano, Masumi\nJapanese\n', b'\nSakurai, Tomo\nJapanese\n', b'\nKoyama, Kimiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItou, Noizi\n\nOriginal Character Design\n\n', b'\nOtani, Kow\n\nMusic\n\n', b'\nTakahashi, Yashichiro\n\nOriginal Creator\n\n', b'\nOotsuka, Mai\n\nCharacter Design\n\n']
