animeTitle	Hyakuren no Haou to Seiyaku no Valkyria
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	65559
animeRank	
animePopularity	1178
animeDescription	"Some urban legends are best left untested! Yuuto Suou gets more than he bargained for when he joins his childhood friend Mitsuki Shimoya in testing out an urban legend. When he uses his phone to take a picture of himself with the local shrine's divine mirror, he is whisked off into another world—one heavily steeped in the lore of the old Norse myths.

Using his knowledge gained from school and from his solar-powered smartphone, he has the chance to bring the Wolf Clan, the same people who cared for him, to prominence, all while earning the adoration of a group of magic-wielding warrior maidens known as the Einherjar.

(Source: J-Novel Club)"
animeRelated	['Hyakuren no Haou to Seiyaku no Valkyria']
animeCharacters	['Suou, Yuuto', 'Siegrune', 'Felicia', 'Ingrid', 'Linnea', 'Shimoya, Mizuki', 'Christina', 'Albertina', 'Loptr']
animeVoices	['Sakai, Koudai', 'Date, Arisa', 'Suegara, Rie', 'Kawase, Maki', 'Takao, Kanon', 'Uchida, Aya', 'Taketatsu, Ayana', 'Yuuki, Aoi', 'Yusa, Kouji']
animeStaff	[['Kobayashi, Kousuke', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Fujimoto, Saeka', 'Script'], ['Uchida, Aya', 'Theme Song Performance']]
