animeTitle	b'Boogiepop wa Warawanai'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	26569
animeRank	
animePopularity	
animeDescription	b'Five years ago, a string of grisly murders shook the city to its core and now the rumors have begun once more. Boogiepop... Everyone knows about Boogiepop: meet her one dark night and you are taken. People tell each other the stories and laugh: no one believes that she can possibly exist in this day and age. Still, strange things appear to be going on and the darkness is taking on many forms. Something is out there. Are you safe?\n\n(Source: RightStuf)'
animeRelated	[b'Boogiepop Series', b'Boogiepop wa Warawanai (2019)']
animeCharacters	[b'Boogiepop', b'Kirima, Nagi', b'Miyashita, Touka', b'Boogiepop Phantom', b'Suema, Kazuko', b'Niitoki, Kei', b'Poom, Poom', b'Kuroda, Shinpei', b'Kisaragi, Manaka', b'Saotome, Masami']
animeVoices	[b'\nShimizu, Kaori\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nAsano, Mayumi\nJapanese\n', b'\nNagasawa, Kyou\nJapanese\n', b'\nTochihara, Rakuto\nJapanese\n', b'\nChikada, Wasei\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaruyama, Masao\n\nProducer\n\n', b'\nWatanabe, Takashi\n\nDirector, Storyboard\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nNoshitani, Mitsutaka\n\nEpisode Director\n\n']
