animeTitle	Captain Future
animeType	TV
animeNumEpisode	52
releaseDate	1978-11-07 00:00:00
endDate	1979-12-18 00:00:00
animeNumMembers	
animeScore	7.05
animeUsers	1611
animeRank	
animePopularity	7703
animeDescription	"Curtis Newton, aka Captain Future, is an orphan. His parents died in their artificial satellite while he was an infant. His father was a scientist, who has abandoned earth for the satellite to dedicate his life for science along with his aging friend the genius Dr Simon Wright. Wright senses his death, and decides to implant his brain in a mechanical container. They both manufactured a superior robot and an android. Captain future dedicated his life to fight evil along with his three men, the brain, android, and robot. 

(Source: ANN)"
animeRelated	['Captain Future: Kareinaru Taiyokei Race']
animeCharacters	['Newton, Curtis', 'Wright, Simon', 'Oak', 'Yiek', 'Otto', 'Grag', 'Scott, Ken', 'Randal, Joan']
animeVoices	['Hirokawa, Taichirou', 'Kawakubo, Kiyoshi', 'Noda, Keiichi', 'Ogata, Kenichi', 'Inoue, Kazuhiko', 'Masuyama, Eiko']
animeStaff	[['Katsumata, Tomoharu', 'Director'], ['Yamauchi, Shigeyasu', 'Episode Director, Storyboard'], ['Morishita, Kouzou', 'Episode Director'], ['Oono, Yuuji', 'Music']]
