animeTitle	Namakemono ga Miteta
animeType	OVA
animeNumEpisode	2
releaseDate	1988-09-23 00:00:00
endDate	1989-07-28 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15735
animeDescription	"Based off a manga by Murakami Takashi that was serialized in Weekly Young Jump.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Yamashita', 'Doctor M', 'Narrator']
animeVoices	['Gouri, Daisuke', 'Aono, Takeshi', 'Kume, Akira']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Urasawa, Yoshio', 'Script'], ['Murakami, Takashi', 'Original Creator'], ['Yamamoto, Masayuki', 'Music']]
