animeTitle	b'Babel Nisei (OVA)'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	821
animeRank	
animePopularity	
animeDescription	"b'Life seems simple for Koichi, a young student, until he learns that he is the reincarnation of an alien protector who crashed onto the mantle of responsibility as""defender of the Earth"", Koichi/Babel teams up with a trio of super-powered alien companions to battle the the dark forces of an evil cult leader. The war to save humanity takes Babel from the deserts of southern Asia to the upper east side of Manhattan and ultimately to a final showdown with ""the master"" in a hidden base nestled in the Swiss Alps. The action is fast-paced and deadly. The fate of the world rests in the ability of this courageous youth to tame his latent psychic power and use it to defeat the enemies of mankind.\n\n(Source: AnimeNfo)'"
animeRelated	[b'Babel Nisei', b'Babel Nisei (2001)']
animeCharacters	[b'Ju Ju', b'Yamano, Kouichi', b'Babel I', b'Nicora', b'Osenji, Yuka']
animeVoices	[b'\nMitsuishi, Kotono\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nNaka, Hiroshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMacek, Carl\n\nProducer, ADR Director\n\n', b'\nMatsumoto, Yoshihisa\n\nDirector, Episode Director, Storyboard\n\n', b'\nIshihara, Shinichi\n\nTheme Song Performance\n\n', b'\nAraki, Shingo\n\nCharacter Design\n\n']
