animeTitle	b'Hurdle'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Yuuki has to move from Yokohama to a rural city and becomes the target of bullying.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Arisawa, Yuuki']
animeVoices	[b'\nMinagawa, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDezaki, Satoshi\n\nDirector\n\n', b'\nShibuichi, Setsuko\n\nStoryboard, Character Design\n\n', b'\nKobayashi, Shichiro\n\nArt Director\n\n', b'\nNakajima, Yuuki\n\nMusic\n\n']
