animeTitle	b'Obey Me!'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	4548
animeRank	
animePopularity	
animeDescription	b'Lucifer, Satan, and the other five princes of hell are students at the Royal Academy of Diavolo, where they train to rule the Demon World. From following humans to falling in love, their individual quirks land them in interesting situations every single day! Will their antics get them expelled, or will one of these infamous brothers come out on top?\n\n(Source: Funimation)'
animeRelated	[b'Obey Me!: Makai Dai Ryokou!']
animeCharacters	[b'Mammon', b'Lucifer', b'Leviathan', b'Satan', b'Beelzebub', b'Belphegor', b'Asmodeus']
animeVoices	[b'\nKobayashi, Hirotaka\nJapanese\n', b'\nYamashita, Kazuya\nJapanese\n', b'\nKada, Satoshi\nJapanese\n', b'\nSumi, Shinya\nJapanese\n', b'\nYaguchi, Kyouhei\nJapanese\n', b'\nOonishi, Satoshi\nJapanese\n', b'\nMiura, Ayme\nJapanese\n']
animeStaff	[]
