animeTitle	himitsukesshatakanotsume.jp Specials
animeType	Special
animeNumEpisode	2
releaseDate	2012-12-12 00:00:00
endDate	2013-02-06 00:00:00
animeNumMembers	262
animeScore	
animeUsers	
animeRank	16088
animePopularity	15083
animeDescription	The episodes parody the Batman Begins and The Dark Knight Rises films. They were only released on the DVD/BD Box sets of himitsukesshatakanotsume.jp.
animeRelated	['himitsukesshatakanotsume.jp']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
