animeTitle	Hi☆sCoool! SeHa Girls
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	4546
animeRank	
animePopularity	5125
animeDescription	"The story of the anime will revolve around Dreamcast, Sega Saturn, and Mega Drive, who have just enrolled in SeHaGaga Academy at Tokyo's Haneda Ōtorii station. They are given an assignment needed to graduate by a suspicious teacher, and to clear this assignment, the girls need to enter the world of Sega games. The girls must try their best to graduate without incident.

(Source: ANN)"
animeRelated	['Gendai Nihon ni Yattekita Sega no Megami ni Arigachi na Koto', 'Hi☆sCoool! SeHa Girls Special']
animeCharacters	['Sega Saturn', 'Dreamcast', 'Mega Drive', 'Sega Mark III', 'Mega-CD 2', 'Mega Drive 2', 'TeraDrive', 'Mega-CD', 'Genesis', 'Super 32X']
animeVoices	['Takahashi, Minami', 'Ichimichi, Mao', 'Izawa, Shiori', 'Tanaka, Manami', 'Hayashi, Saori', 'Yamaoka, Yuri', 'Inoue, Marina', 'Mikami, Shiori', 'Tano, Asami', 'Kano, Yui']
animeStaff	[['Sugahara, Souta', 'Director, Script, Character Design'], ['Ichimichi, Mao', 'Theme Song Performance'], ['Takahashi, Minami', 'Theme Song Performance'], ['Izawa, Shiori', 'Theme Song Performance']]
