animeTitle	Shinkon Gattai Godannar!!
animeType	TV
animeNumEpisode	13
releaseDate	2003-10-01 00:00:00
endDate	2003-12-24 00:00:00
animeNumMembers	
animeScore	6.68
animeUsers	4090
animeRank	
animePopularity	4479
animeDescription	"Five years ago, while battling an alien force known as the ""Mimesis,"" Dannar pilot Goh Saruwatari first met Anna Aoi. Today, on the day of their wedding, the ceremony is interrupted when the Mimesis strike again. As Goh struggles in his battle against the alien threat, Anna stumbles upon a top secret robot known as the ""Neo-Okusaer"" and uses it as a last-resort to save her fiancee. At that moment, Dannar and Neo-Okusaer merge to become the mighty robot ""Godannar.""

(Source: ANN)"
animeRelated	['Shinkon Gattai Godannar!! 2nd Season']
animeCharacters	['Saruwatari, Goh', 'Aoi, Anna', 'Aoi, Kiriko', 'Fujimura, Shizuru', 'Roux, Lou', 'Ackerman, Mira', 'Ekaterina', 'Kouji, Tetsuya', 'Kagemaru', 'Luna']
animeVoices	['Kondou, Takayuki', 'Nakahara, Mai', 'Honda, Takako', 'Kakazu, Yumi', 'Shimizu, Kaori', 'Hisakawa, Aya', 'Yamada, Miho', 'Hiyama, Nobuyuki', 'Yamaguchi, Tarou', 'Kawakami, Tomoko']
animeStaff	[['Nagaoka, Yasuchika', 'Director, Storyboard, Original Creator'], ['Aketagawa, Jin', 'Sound Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Izumi, Akihiro', 'Episode Director, Key Animation']]
