animeTitle	b'Kaibutsu Oujo Specials'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	588
animeRank	
animePopularity	
animeDescription	b'Specials of 4 minutes which recounts the adventures of Kerberotte-chan including characters of Princess Resurrection.'
animeRelated	[b'Kaibutsu Oujo (OVA)']
animeCharacters	[b'Kerberotte-chan']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshihara, Tatsuya\n\nEpisode Director, Storyboard, Key Animation, Animation Director, 2nd Key Animation\n\n']
