animeTitle	Aru Otoko no Ikikata
animeType	ONA
animeNumEpisode	1
releaseDate	2019-01-15 00:00:00
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	139
animeRank	
animePopularity	14129
animeDescription	"A Suntory short for their Boss brand canned coffee. It covers the history of Yutaka Nakamura, a businessman who established the Hawaiians Spa Resort in Fukushima at the age of sixty-five. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
