animeTitle	Deimos no Hanayome: Ran no Kumikyoku
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	1751
animeRank	
animePopularity	7280
animeDescription	"Two siblings were happy on Mt. Olympus, until they fell in love. Deimo's sister Venus got imprisoned in the Swamp of Death. To save Venus's life, he must find a human reincarnation so that they can continue their love.

(Source: ANN)"
animeRelated	['Deimos no Hanayome']
animeCharacters	['Deimos', 'Ifu, Minako', 'Ooba, Kaname', 'Venus', 'Hisamatsu', 'Ooba, Touko']
animeVoices	['Nozawa, Nachi', 'Shou, Mayumi', 'Shiozawa, Kaneto', 'Fujita, Toshiko', 'Kusao, Takeshi', 'Mutou, Reiko']
animeStaff	[['Rintaro', 'Director'], ['Hamasaki, Hiroshi', 'Character Design, Key Animation, Animation Director'], ['Oga, Kazuo', 'Background Art'], ['Nakura, Yasuhiro', 'Key Animation']]
