animeTitle	Tabisuru Nuigurumi: Traveling Daru
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	2445
animeRank	
animePopularity	7445
animeDescription	"Daru, a cherished handmade stuffed toy, gets lost and separated from its owner one day when at the airport. Determined to find her again, Daru sets out on a journey around the world in search of her. As time passes, the girl begins to forget about Daru. Will Daru be able to find and see his beloved owner again?

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Daru']
animeVoices	[]
animeStaff	[['Tazawa, Ushio', 'Director, Character Design']]
