animeTitle	Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu
animeType	Movie
animeNumEpisode	1
releaseDate	1995-07-15 00:00:00
endDate	
animeNumMembers	14128
animeScore	7.66
animeUsers	6854
animeRank	1163
animePopularity	4619
animeDescription	"Ichiro Mizusawa, a player from Rukawa's old junior high school, Tomigoaka, is diagnosed with a crippling leg condition and wants to play one last game with Rukawa. Hanamichi sets out to help the boy and fulfill his wish. 

(Source: ANN)"
animeRelated	['Slam Dunk']
animeCharacters	['Sakuragi, Hanamichi', 'Mitsui, Hisashi', 'Rukawa, Kaede', 'Miyagi, Ryouta', 'Akagi, Takenori', 'Mizusawa, Ichiro', 'Mito, Youhei', 'Akagi, Haruko', 'Anzai, Mitsuyoshi', 'Kogure, Kiminobu']
animeVoices	['Kusao, Takeshi', 'Okiayu, Ryoutarou', 'Midorikawa, Hikaru', 'Shioya, Yoku', 'Yanada, Kiyoyuki', 'Ishida, Akira', 'Morikawa, Toshiyuki', 'Hiramatsu, Akiko', 'Nishimura, Tomomichi', 'Tanaka, Hideyuki']
animeStaff	[['MANISH', 'Theme Song Lyrics, Theme Song Performance'], ['Inoue, Takehiko', 'Original Creator'], ['Hosoda, Mamoru', 'Key Animation'], ['Kagami, Takahiro', 'Assistant Animation Director']]
