animeTitle	b'Mushibugyou'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	29655
animeRank	
animePopularity	
animeDescription	"b""In Feudal Japan, the people of Edo are under siege by giant insects that ravage the land. The people desperately beg the government to do something about it. Thus the Insect Magistrate Office is established, gathering strong warriors to defend against the onset of pests.\n\nMushibugyou follows Jinbee Tsukishima, a young man striving to be a master swordsman like his father. To atone for a horrific incident that occurred at his fault, Jinbee seeks to take his father's place as a member of the Insect Magistrate Office. On his journey there, he meets the lovely Haru, a young woman who helps manage her family\xe2\x80\x99s tea house, and is forced to put his sword to good use in saving her from a grisly fate. This act of bravery that earns him a spot in the Insect Magistrate. Will this rookie exterminator be able to rid the land of the horde of insects swarming in?"""
animeRelated	[b'Joujuu Senjin!! Mushibugyou', b'Mushibugyou OVA']
animeCharacters	[b'Tsukishima, Jinbee', b'Hibachi', b'Koikawa, Shungiku', b'Mugai', b'Ichinotani, Tenma', b'Mushibugyou', b'Haru', b'Matsunohara, Kotori', b'Sanada, Yukimura', b'Irori']
animeVoices	[b'\nKENN\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n', b'\nSerizawa, Yuu\nJapanese\n', b'\nHan, Megumi\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHamana, Takayuki\n\nDirector\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nKikuchi, Katsuya\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nOonogi, Hiroshi\n\nScript\n\n']
