animeTitle	Hellsing: Digest for Freaks
animeType	OVA
animeNumEpisode	1
releaseDate	2006-01-22 00:00:00
endDate	
animeNumMembers	38100
animeScore	7.65
animeUsers	12894
animeRank	1188
animePopularity	2894
animeDescription	This OVA is a summary of the first three episodes of Hellsing, with the animation style of Hellsing Ultimate and following the events of the Hellsing manga.
animeRelated	['Hellsing Ultimate']
animeCharacters	['Alucard', 'Victoria, Seras', 'Fairbrook Wingates Hellsing, Integra', 'Anderson, Alexander', 'Dornez, Walter C.', 'Cheddar Priest']
animeVoices	[]
animeStaff	[['Hirano, Kouta', 'Original Creator']]
