animeTitle	Shoujo Auction
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	875
animeRank	
animePopularity	9088
animeDescription	"There is a secret club that holds an auction of virgins. They are unmistakably virgins checked their bodies by a sadistic woman doctor. The girls are put up for auction by various reasons, for example, to clear the debts, and they are forced to have sex with bidders.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Shirohebi']
animeVoices	[]
animeStaff	[]
