animeTitle	Tokyo Underground
animeType	TV
animeNumEpisode	26
releaseDate	2002-04-02 00:00:00
endDate	2002-09-24 00:00:00
animeNumMembers	26697
animeScore	6.62
animeUsers	10201
animeRank	5525
animePopularity	3487
animeDescription	"Under the capital city of Tokyo, Japan, there exists a large, vast, and unknown world known as Underground. There, people known as Elemental Users exist; people who have the ability to control the elements: Fire, Water, Lightning, Magnetism, Freeze, etc. Meet Rumina Asagi and his best friend Ginnosuke Isuzu, two average high school freshmen who reside in Tokyo. When they meet Gravity User, Chelsea Rorec, and the Miko of Life, Ruri Sarasa, their whole lives change into one big adventure.

(Source: ANN)"
animeRelated	['Tokyo Underground']
animeCharacters	['Asagi, Rumina', 'Rorec, Chelsea', 'Sarasa, Ruri', 'Isuzu, Ginosuke', 'Messiah, Shielle', 'Reiyon', 'Ashford, Tail', 'Sui']
animeVoices	['Seki, Tomokazu', 'Morota, Kaoru', 'Nanao, Haruhi', 'Hoshi, Souichirou', 'Ootani, Ikue', 'Iizuka, Mayumi', 'Sasajima, Kaoru', 'Sakurai, Takahiro']
animeStaff	[['Date, Hayato', 'Director, Episode Director, Storyboard'], ['Takakuwa, Hajime', 'Sound Director'], ['Takemoto, Yasuhiro', 'Episode Director, Storyboard'], ['Tsuru, Toshiyuki', 'Episode Director, Storyboard, Key Animation']]
