animeTitle	Ansatsu Kyoushitsu 2nd Season
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	8.52
animeUsers	679115
animeRank	
animePopularity	86
animeDescription	"The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.

Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.

[Written by MAL Rewrite]"
animeRelated	['Ansatsu Kyoushitsu', 'Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen', 'Koro-sensei Q!', 'Ansatsu Kyoushitsu: 365-nichi no Jikan']
animeCharacters	['Koro-sensei', 'Akabane, Karma', 'Shiota, Nagisa', 'Kayano, Kaede', 'Karasuma, Tadaomi', 'Jelavić, Irina', 'Nakamura, Rio', 'Asano, Gakushuu', 'Horibe, Itona', 'Ritsu']
animeVoices	['Fukuyama, Jun', 'Okamoto, Nobuhiko', 'Fuchigami, Mai', 'Suzaki, Aya', 'Sugita, Tomokazu', 'Itou, Shizuka', 'Numakura, Manami', 'Miyano, Mamoru', 'Ogata, Megumi', 'Fujita, Saki']
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Itou, Fumio', 'Episode Director'], ['Majima, Takahiro', 'Episode Director']]
