animeTitle	b'Itazura The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	3213
animeRank	
animePopularity	
animeDescription	"b""Katsuhiko is a master train pervert. He can pull off a feel, a grab, or even go all the way on a crowded train with girls he's never met. One day he meets a sinister pickpocket named Gin, who provides him with the ultimate target. Katsuhiko moves in on the gorgeous TV anchorwoman with perfect skill, but will he be ready for Gin's well-timed double cross.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Honda, Katsuhiko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIijima, Hiroya\n\nCharacter Design, Animation Director\n\n', b'\nInterheart\n\nOriginal Creator\n\n']
