animeTitle	b'Onna Kyoushi: Nikutai Jugyou'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	337
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Nagasawa, Misaki', b'Nitou, Sakaya', b'Sayama', b'Morinaga, Ayako', b'Inogawa, Kurisu', b'Ebina, Yukie']
animeVoices	[b'\nYusa, Kouji\nJapanese\n']
animeStaff	[]
