animeTitle	Angolmois: Genkou Kassenki
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-11 00:00:00
endDate	2018-09-26 00:00:00
animeNumMembers	51961
animeScore	7.14
animeUsers	21994
animeRank	3156
animePopularity	2460
animeDescription	"The scary great king comes from the other side of the sea... The big incident ""Genkou"" that shook medieval Japan is being drawn in an original way in this historical anime, along with the beginning of the Samurai!

(Source: Crunchyroll)"
animeRelated	['Angolmois: Genkou Kassenki']
animeCharacters	['Kuchii, Jinzaburou', 'Kano', 'Teruhi-hime', 'Amushi', 'Nagamine, Hangan', 'Abiru, Yajirou', 'Shouni, Kagesuke', 'Onitakemaru', 'Sana', 'Shiraishi, Kazuhisa']
animeVoices	['Ono, Yuuki', 'Komatsu, Mikako', 'Lynn', 'Horie, Shun', 'Ono, Kensho', 'Suzuki, Tatsuhisa', 'Tachibana, Shinnosuke', 'Koyama, Rikiya', 'Hara, Natsuko', 'Nomura, Kenji']
animeStaff	[['Kuriyama, Takayuki', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Miyake, Kanji', 'Storyboard'], ['Takigawa, Kazuo', 'Storyboard, Key Animation, Animation Director']]
