animeTitle	Carnival Phantasm EX Season
animeType	OVA
animeNumEpisode	1
releaseDate	2011-11-26 00:00:00
endDate	
animeNumMembers	42902
animeScore	7.47
animeUsers	24601
animeRank	1723
animePopularity	2699
animeDescription	"A DVD-only episode bundled with the special edition Take Moon volume. 

Caren Ortensia attempts to control the world using money with varying degrees of success, Phantas-Moon receives a movie adaption of her T.V. show, and Shiki is involved in a love plot that spans years.   

(Source: Wikipedia)"
animeRelated	['Take Moon', 'Carnival Phantasm']
animeCharacters	['Lancer', 'Brunestud, Arcueid', 'Toono, Shiki', 'Hortensia, Caren', 'Saber', 'Toosaka, Rin', 'Gilgamesh', 'Emiya, Shirou', 'von Einzbern, Illyasviel', 'Kotomine, Kirei']
animeVoices	['Canna, Nobutoshi', 'Yuzuki, Ryouka', 'Nojima, Kenji', 'Koshimizu, Ami', 'Kawasumi, Ayako', 'Ueda, Kana', 'Endou, Aya', 'Sugiyama, Noriaki', 'Kadowaki, Mai', 'Nakata, Jouji']
animeStaff	[['Higa, Yuuji', 'Producer'], ['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Masaki, Shinichi', 'Storyboard']]
