animeTitle	b'Great Pretender'
animeType	b'TV'
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	8.3
animeUsers	204466
animeRank	
animePopularity	
animeDescription	"b'A series of unfortunate events has led Makoto ""Edamame"" Edamura to adopt the life of crime\xe2\x80\x94pickpocketing and scamming others for a living. However, after swindling a seemingly clueless tourist, Makoto discovers that he was the one tricked and, to make matters worse, the police are now after him. \n\nWhile making his escape, he runs into the tourist once again, who turns out to be a fellow con man named Laurent Thierry, and ends up following him to Los Angeles. In an attempt to defend his self-proclaimed title of ""Japan\'s Greatest Swindler,"" Makoto challenges his rival to determine the better scammer. Accepting the competition, Laurent drops them off outside a huge mansion and claims that their target will be the biggest mafia boss on the West Coast.\n\nJumping from city to city, Great Pretender follows the endeavors of Makoto alongside the cunning Laurent and his colorful associates in the world of international high-stakes fraud. Soon, Makoto realizes that he got more than what he bargained for as his self-declared skills are continually put to the test.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Great Pretender']
animeCharacters	[b'Thierry, Laurent', b'Jones, Abigail', b'Edamura, Makoto', b'Moore, Cynthia', b'Dorothy', b'Kudou', b'Ozaki, Seiji', b'Ibrahim, Sam', b'Salazar', b'Meyer, Thomas']
animeVoices	[b'\nSuwabe, Junichi\nJapanese\n', b'\nFujiwara, Natsumi\nJapanese\n', b'\nKobayashi, Chiaki\nJapanese\n', b'\nSonozaki, Mie\nJapanese\n', b'\nKomatsu, Yuka\nJapanese\n', b'\nTadano, Youhei\nJapanese\n', b'\nSakuya, Shunsuke\nJapanese\n', b'\nKomatsu, Fuminori\nJapanese\n', b'\nTakeuchi, Ryouta\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkada, Maiko\n\nProducer\n\n', b'\nKaburagi, Hiro\n\nDirector\n\n', b'\nHata, Shouji\n\nSound Director\n\n', b'\nShirahata, Yoshiyuki\n\nEpisode Director, Storyboard\n\n']
