animeTitle	Seijuuki Cyguard
animeType	OVA
animeNumEpisode	1
releaseDate	1989-01-11 00:00:00
endDate	
animeNumMembers	3707
animeScore	5.25
animeUsers	1577
animeRank	11008
animePopularity	7841
animeDescription	"A freak accident unleashes a demonic spirit within researcher John Stalker - transforming him into Saldo, a mythical cyber-beast fueled by hate and evil.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Einstein, Adler', 'Rozetta, Leyla', 'Stalker, John', 'Detective Gordon', 'Captain Jack', 'Priest', 'Dr. Volkes', 'Randol']
animeVoices	['Suzuoki, Hirotaka', 'Tsuru, Hiromi', 'Kusao, Takeshi', 'Yara, Yuusaku', 'Iizuka, Shouzou']
animeStaff	[['Ohata, Koichi', 'Director, Creator'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Yamane, Masahiro', 'Key Animation'], ['Arai, Kazuhiro', 'Art Director']]
